programme,institution,dp_order,qsp_code,term_code,term_label,term_start,term_end,weeks,course_code,course_title,duration_hours,provenance,status
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-F,DP 1 Year 3 Fall — Core III,2028-09-01,2028-12-31,15,C305,Advanced Malware Reverse-Engineering,,unsourced,proposed
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-F,DP 1 Year 3 Fall — Core III,2028-09-01,2028-12-31,15,C306,Lab: Full-Scale Adversary Emulation,,unsourced,proposed
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-S,DP 1 Year 3 Spring — Capstone,2029-01-01,2029-04-30,15,C401,Professional Ethics & Legal Frameworks,,unsourced,proposed
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-S,DP 1 Year 3 Spring — Capstone,2029-01-01,2029-04-30,15,C402,Capstone Project Planning,,unsourced,proposed
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-S,DP 1 Year 3 Spring — Capstone,2029-01-01,2029-04-30,6,C403,Capstone Implementation,,unsourced,proposed
cyber-operator,Algonquin College,1,QSP-TODO,DP1-Y3-S,DP 1 Year 3 Spring — Capstone,2029-01-01,2029-04-30,9,C404,Capstone Assessment & Presentation,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,15,RMC C201,Advanced Network Defense,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,15,RMC C202,Threat Hunting — Advanced,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,15,RMC C203,Cloud Security — Advanced,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,15,RMC C204,IoT Firmware Reverse-Engineering,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,15,RMC C205,Red-Team Operations,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-F,DP 2 Fall — Advanced Technical I,2029-09-01,2029-12-31,3,RMC C206,Capstone Planning,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C207,Advanced Malware Analysis,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C208,Incident Response — End-to-End,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C209,Cyber Threat Intelligence,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C210,Cloud-Native Defense,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C211,Advanced IoT Security,,unsourced,proposed
cyber-operator,Royal Military College,2,QSP-TODO,DP2-S,DP 2 Spring — Advanced Technical II,2030-01-01,2030-04-30,15,RMC C212,Capstone Execution & Assessment,,unsourced,proposed
